23/04/01, 増速機 加速度 後方Z (m/s^2), ﾅｾﾙ方位角 (0-360) (deg), ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対ﾅｾﾙ方位角θ2 (deg)
23/10/28, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対ﾅｾﾙ方位角θ2 (deg), 絶対風向 右側 (deg)
23/10/29, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対ﾅｾﾙ方位角θ2 (deg), 絶対風向 右側 (deg)
23/10/30, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対ﾅｾﾙ方位角θ2 (deg), 絶対風向 右側 (deg)
23/10/31, ﾋﾟｯﾁ1 充電率 (%), 増速機 加速度 後方Z (m/s^2), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対風向 右側 (deg)
23/11/01, ﾋﾟｯﾁ1 充電率 (%), ﾅｾﾙ方位角 (0-360) (deg), 増速機 加速度 後方Z (m/s^2), ﾋﾟｯﾁ角度 A1(ﾓｰﾀｰ軸) (deg), 絶対ﾅｾﾙ方位角θ1 (deg)
23/11/02, ﾋﾟｯﾁ1 充電率 (%), 増速機 加速度 後方Z (m/s^2), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対風向 右側 (deg)
23/11/03, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対ﾅｾﾙ方位角θ2 (deg), 絶対風向 右側 (deg)
23/11/04, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 増速機 加速度 後方Z (m/s^2), 絶対ﾅｾﾙ方位角θ2 (deg)
23/11/05, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対ﾅｾﾙ方位角θ2 (deg), 絶対風向 右側 (deg)
23/11/06, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾅｾﾙ方位角 (0-360) (deg), PCS 101 有効電力指令 (kW), 発電機ｼｽﾃﾑ電力 (kW), PCS 08 ｼｽﾃﾑ有効電力 (kW)
23/11/07, 増速機 加速度 後方Z (m/s^2), ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対ﾅｾﾙ方位角θ2 (deg)
23/11/08, ﾋﾟｯﾁ1 充電率 (%), 増速機 加速度 後方Z (m/s^2), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対ﾅｾﾙ方位角θ2 (deg)
23/11/09, ﾋﾟｯﾁ1 充電率 (%), ﾅｾﾙ方位角 (0-360) (deg), 増速機 加速度 後方Z (m/s^2), 絶対ﾅｾﾙ方位角θ1 (deg), ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V)
23/11/10, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), PCS 101 有効電力指令 (kW), 絶対ﾅｾﾙ方位角θ2 (deg)
23/11/11, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対ﾅｾﾙ方位角θ2 (deg), 絶対風向 右側 (deg)
23/11/12, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), PCS 101 有効電力指令 (kW), 発電機ｼｽﾃﾑ電力 (kW), PCS 08 ｼｽﾃﾑ有効電力 (kW), ﾅｾﾙ方位角 (0-360) (deg)
23/11/13, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾅｾﾙ方位角 (0-360) (deg), PCS 101 有効電力指令 (kW), 発電機ｼｽﾃﾑ電力 (kW), 絶対ﾅｾﾙ方位角θ1 (deg)
23/11/14, 増速機 加速度 後方Z (m/s^2), ﾋﾟｯﾁ1 充電率 (%), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対ﾅｾﾙ方位角θ2 (deg)
23/11/15, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 発電機ｼｽﾃﾑ電力 (kW), PCS 101 有効電力指令 (kW)
23/11/16, ﾋﾟｯﾁ1 充電率 (%), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 増速機 加速度 後方Z (m/s^2), ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V)
23/11/17, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾅｾﾙ方位角 (0-360) (deg), PCS 101 有効電力指令 (kW), 発電機ｼｽﾃﾑ電力 (kW), PCS 08 ｼｽﾃﾑ有効電力 (kW)
23/11/18, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), PCS 101 有効電力指令 (kW), 発電機ｼｽﾃﾑ電力 (kW), PCS 08 ｼｽﾃﾑ有効電力 (kW), ﾅｾﾙ方位角 (0-360) (deg)
23/11/19, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 発電機ｼｽﾃﾑ電力 (kW), 絶対ﾅｾﾙ方位角θ2 (deg)
23/11/20, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対ﾅｾﾙ方位角θ2 (deg), 絶対風向 右側 (deg)
23/11/21, ﾋﾟｯﾁ1 充電率 (%), 増速機 加速度 後方Z (m/s^2), ﾋﾟｯﾁ角度 A1(ﾓｰﾀｰ軸) (deg), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg)
23/11/22, ﾋﾟｯﾁ1 充電率 (%), ﾋﾟｯﾁ角度 A1(ﾓｰﾀｰ軸) (deg), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対風向 右側 (deg)
23/11/23, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対ﾅｾﾙ方位角θ2 (deg), 発電機ｼｽﾃﾑ電力 (kW)
23/11/24, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), PCS 101 有効電力指令 (kW), 発電機ｼｽﾃﾑ電力 (kW), PCS 08 ｼｽﾃﾑ有効電力 (kW), ﾅｾﾙ方位角 (0-360) (deg)
23/11/25, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対ﾅｾﾙ方位角θ2 (deg), 絶対風向 右側 (deg)
23/11/26, ﾋﾟｯﾁ1 充電率 (%), 増速機 加速度 後方Z (m/s^2), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), ﾋﾟｯﾁ角度 A1(ﾓｰﾀｰ軸) (deg)
23/11/27, 増速機 加速度 後方Z (m/s^2), ﾋﾟｯﾁ1 充電率 (%), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対風向 右側 (deg)
23/11/28, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), PCS 101 有効電力指令 (kW), 発電機ｼｽﾃﾑ電力 (kW)
23/11/29, ﾋﾟｯﾁ1 充電率 (%), 増速機 加速度 後方Z (m/s^2), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対風向 右側 (deg)
23/11/30, 増速機 加速度 後方Z (m/s^2), ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), PCS 101 有効電力指令 (kW)
23/12/01, 増速機 加速度 後方Z (m/s^2), ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対ﾅｾﾙ方位角θ2 (deg)
23/12/02, ﾋﾟｯﾁ1 充電率 (%), ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 増速機 加速度 後方Z (m/s^2)
23/12/03, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 発電機ｼｽﾃﾑ電力 (kW), PCS 101 有効電力指令 (kW)
23/12/04, ﾋﾟｯﾁ1 充電率 (%), ﾋﾟｯﾁ角度 A1(ﾓｰﾀｰ軸) (deg), ﾅｾﾙ方位角 (0-360) (deg), PCS 39 吸気温度 (degC), 増速機 加速度 後方Z (m/s^2)
23/12/05, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対ﾅｾﾙ方位角θ2 (deg), 絶対風向 右側 (deg)
23/12/06, ﾋﾟｯﾁ1 充電率 (%), ﾅｾﾙ方位角 (0-360) (deg), ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), 絶対ﾅｾﾙ方位角θ1 (deg), 増速機 加速度 後方Z (m/s^2)
23/12/07, 増速機 加速度 後方Z (m/s^2), ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), PCS 101 有効電力指令 (kW)
23/12/08, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対ﾅｾﾙ方位角θ2 (deg), 絶対風向 右側 (deg)
23/12/09, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対ﾅｾﾙ方位角θ2 (deg), 発電機ｼｽﾃﾑ電力 (kW)
23/12/10, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対ﾅｾﾙ方位角θ2 (deg), 絶対風向 右側 (deg)
23/12/11, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対ﾅｾﾙ方位角θ2 (deg), 絶対風向 右側 (deg)
23/12/12, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対ﾅｾﾙ方位角θ2 (deg), 絶対風向 右側 (deg)
23/12/13, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対ﾅｾﾙ方位角θ2 (deg), 絶対風向 右側 (deg)
23/12/14, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対ﾅｾﾙ方位角θ2 (deg), 絶対風向 右側 (deg)
23/12/15, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), PCS 101 有効電力指令 (kW), 発電機ｼｽﾃﾑ電力 (kW)
23/12/16, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), PCS 101 有効電力指令 (kW), ﾅｾﾙ方位角 (0-360) (deg), 発電機ｼｽﾃﾑ電力 (kW), PCS 08 ｼｽﾃﾑ有効電力 (kW)
23/12/17, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), PCS 101 有効電力指令 (kW), ﾅｾﾙ方位角 (0-360) (deg), 発電機ｼｽﾃﾑ電力 (kW), PCS 08 ｼｽﾃﾑ有効電力 (kW)
23/12/18, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 増速機 加速度 後方Z (m/s^2), 絶対ﾅｾﾙ方位角θ2 (deg)
23/12/19, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対ﾅｾﾙ方位角θ2 (deg), 絶対風向 右側 (deg)
23/12/20, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), PCS 101 有効電力指令 (kW), ﾅｾﾙ方位角 (0-360) (deg), 発電機ｼｽﾃﾑ電力 (kW), PCS 08 ｼｽﾃﾑ有効電力 (kW)
23/12/21, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾅｾﾙ方位角 (0-360) (deg), PCS 101 有効電力指令 (kW), 絶対ﾅｾﾙ方位角θ1 (deg), 発電機ｼｽﾃﾑ電力 (kW)
23/12/22, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), PCS 101 有効電力指令 (kW), ﾅｾﾙ方位角 (0-360) (deg), 発電機ｼｽﾃﾑ電力 (kW), PCS 08 ｼｽﾃﾑ有効電力 (kW)
23/12/23, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), PCS 101 有効電力指令 (kW), 発電機ｼｽﾃﾑ電力 (kW)
23/12/24, 増速機 加速度 後方Z (m/s^2), ﾅｾﾙ方位角 (0-360) (deg), ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾋﾟｯﾁ1 充電率 (%), 絶対ﾅｾﾙ方位角θ1 (deg)
23/12/25, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), PCS 101 有効電力指令 (kW), 発電機ｼｽﾃﾑ電力 (kW)
23/12/26, 増速機 加速度 後方Z (m/s^2), ﾋﾟｯﾁ1 充電率 (%), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対ﾅｾﾙ方位角θ2 (deg)
23/12/27, ﾋﾟｯﾁ1 充電率 (%), 増速機 加速度 後方Z (m/s^2), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対風向 右側 (deg)
23/12/28, ﾋﾟｯﾁ1 充電率 (%), 増速機 加速度 後方Z (m/s^2), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対風向 右側 (deg)
23/12/29, 増速機 加速度 後方Z (m/s^2), ﾅｾﾙ方位角 (0-360) (deg), ﾋﾟｯﾁ1 充電率 (%), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対風向 右側 (deg)
23/12/30, ﾋﾟｯﾁ1 充電率 (%), 増速機 加速度 後方Z (m/s^2), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対風向 右側 (deg)
23/12/31, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾅｾﾙ方位角 (0-360) (deg), PCS 101 有効電力指令 (kW), 発電機ｼｽﾃﾑ電力 (kW), PCS 08 ｼｽﾃﾑ有効電力 (kW)
24/01/01, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対ﾅｾﾙ方位角θ2 (deg), 絶対風向 右側 (deg)
24/01/02, ﾋﾟｯﾁ1 充電率 (%), 増速機 加速度 後方Z (m/s^2), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対風向 右側 (deg)
24/01/03, ﾋﾟｯﾁ1 充電率 (%), ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), PCS 101 有効電力指令 (kW)
24/01/04, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾅｾﾙ方位角 (0-360) (deg), 増速機 加速度 後方Z (m/s^2), 絶対ﾅｾﾙ方位角θ1 (deg), 発電機ｼｽﾃﾑ電力 (kW)
24/01/05, ﾋﾟｯﾁ1 充電率 (%), 増速機 加速度 後方Z (m/s^2), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対ﾅｾﾙ方位角θ2 (deg)
24/01/06, ﾋﾟｯﾁ1 充電率 (%), ﾅｾﾙ方位角 (0-360) (deg), ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対ﾅｾﾙ方位角θ2 (deg)
24/01/07, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), PCS 101 有効電力指令 (kW), ﾅｾﾙ方位角 (0-360) (deg), 発電機ｼｽﾃﾑ電力 (kW), PCS 08 ｼｽﾃﾑ有効電力 (kW)
24/01/08, ﾋﾟｯﾁ1 充電率 (%), 増速機 加速度 後方Z (m/s^2), ﾅｾﾙ方位角 (0-360) (deg), ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), 絶対ﾅｾﾙ方位角θ1 (deg)
24/01/09, ﾋﾟｯﾁ1 充電率 (%), 増速機 加速度 後方Z (m/s^2), ﾅｾﾙ方位角 (0-360) (deg), PCS 39 吸気温度 (degC), 絶対ﾅｾﾙ方位角θ1 (deg)
24/01/10, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾅｾﾙ方位角 (0-360) (deg), PCS 101 有効電力指令 (kW), 絶対ﾅｾﾙ方位角θ1 (deg), 発電機ｼｽﾃﾑ電力 (kW)
24/01/11, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), PCS 101 有効電力指令 (kW), 発電機ｼｽﾃﾑ電力 (kW)
24/01/12, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 発電機ｼｽﾃﾑ電力 (kW), PCS 01 ｼｽﾃﾑ電流U (A)
24/01/13, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対ﾅｾﾙ方位角θ2 (deg), 絶対風向 右側 (deg)
24/01/14, ﾋﾟｯﾁ1 充電率 (%), 増速機 加速度 後方Z (m/s^2), ﾅｾﾙ方位角 (0-360) (deg), ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), 絶対ﾅｾﾙ方位角θ1 (deg)
24/01/15, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾅｾﾙ方位角 (0-360) (deg), PCS 101 有効電力指令 (kW), 発電機ｼｽﾃﾑ電力 (kW), 絶対ﾅｾﾙ方位角θ1 (deg)
24/01/16, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対ﾅｾﾙ方位角θ2 (deg), 絶対風向 右側 (deg)
24/01/17, 増速機 加速度 後方Z (m/s^2), ﾋﾟｯﾁ1 充電率 (%), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V)
24/01/18, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対ﾅｾﾙ方位角θ2 (deg), 絶対風向 右側 (deg)
24/01/19, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対風向 右側 (deg), 絶対ﾅｾﾙ方位角θ2 (deg)
24/01/20, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対ﾅｾﾙ方位角θ2 (deg), 絶対風向 右側 (deg)
24/01/21, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対ﾅｾﾙ方位角θ2 (deg), 絶対風向 右側 (deg)
24/01/22, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), PCS 101 有効電力指令 (kW), ﾅｾﾙ方位角 (0-360) (deg), 発電機ｼｽﾃﾑ電力 (kW), PCS 08 ｼｽﾃﾑ有効電力 (kW)
24/01/23, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), PCS 101 有効電力指令 (kW), PCS 08 ｼｽﾃﾑ有効電力 (kW), 発電機ｼｽﾃﾑ電力 (kW), ﾅｾﾙ方位角 (0-360) (deg)
24/01/24, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), PCS 101 有効電力指令 (kW), 発電機ｼｽﾃﾑ電力 (kW), PCS 08 ｼｽﾃﾑ有効電力 (kW), ﾅｾﾙ方位角 (0-360) (deg)
24/01/25, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), PCS 101 有効電力指令 (kW), ﾅｾﾙ方位角 (0-360) (deg), 発電機ｼｽﾃﾑ電力 (kW), PCS 08 ｼｽﾃﾑ有効電力 (kW)
24/01/26, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), PCS 101 有効電力指令 (kW), 発電機ｼｽﾃﾑ電力 (kW)
24/01/27, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 発電機ｼｽﾃﾑ電力 (kW), PCS 101 有効電力指令 (kW)
24/01/28, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾅｾﾙ方位角 (0-360) (deg), PCS 101 有効電力指令 (kW), 発電機ｼｽﾃﾑ電力 (kW), PCS 08 ｼｽﾃﾑ有効電力 (kW)
24/01/29, ﾅｾﾙ方位角 (0-360) (deg), ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾋﾟｯﾁ1 充電率 (%), 増速機 加速度 後方Z (m/s^2), 絶対ﾅｾﾙ方位角θ1 (deg)
24/01/30, ﾋﾟｯﾁ1 充電率 (%), ﾅｾﾙ方位角 (0-360) (deg), 増速機 加速度 後方Z (m/s^2), 絶対ﾅｾﾙ方位角θ1 (deg), ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V)
24/01/31, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対ﾅｾﾙ方位角θ2 (deg), 絶対風向 右側 (deg)
24/02/01, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対ﾅｾﾙ方位角θ2 (deg), 絶対風向 右側 (deg)
24/02/02, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対ﾅｾﾙ方位角θ2 (deg), 絶対風向 右側 (deg)
24/02/03, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対ﾅｾﾙ方位角θ2 (deg), 絶対風向 右側 (deg)
24/02/04, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対ﾅｾﾙ方位角θ2 (deg), 絶対風向 右側 (deg)
24/02/05, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対ﾅｾﾙ方位角θ2 (deg), 絶対風向 右側 (deg)
24/02/06, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対ﾅｾﾙ方位角θ2 (deg), 絶対風向 右側 (deg)
24/02/07, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), PCS 101 有効電力指令 (kW), 発電機ｼｽﾃﾑ電力 (kW)
24/02/08, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対ﾅｾﾙ方位角θ2 (deg), 発電機ｼｽﾃﾑ電力 (kW)
